18, cabo,      nikodemus,  kubernetes,     master,         cabo1cuomkube3,      br0,   52:54:00:9B:66:12,   192.168.1.105,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
19, cabo,      nikodemus,  management,     tools,          cabo1cuomtool11,     br0,   52:54:00:9B:66:13,   192.168.1.106,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2

02, tatooine,  nikodemus,  services,       haproxy,        tato1cuomapisvr1,    br0,   52:54:00:9B:67:02,   192.168.1.107,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
03, tatooine,  nikodemus,  services,       haproxy,        tato1cuomhap1,       br0,   52:54:00:9B:67:03,   192.168.1.108,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
04, tatooine,  nikodemus,  elasticstack,   data,           tato1cuomifed1,      br0,   52:54:00:9B:67:04,   192.168.1.109,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
05, tatooine,  nikodemus,  elasticstack,   data,           tato1cuomifed2,      br0,   52:54:00:9B:67:05,   192.168.1.110,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
06, tatooine,  nikodemus,  elasticstack,   kibana,         tato1cuomifek1,      br0,   52:54:00:9B:67:06,   192.168.1.111,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
07, tatooine,  nikodemus,  elasticstack,   logging,        tato1cuomifel1,      br0,   52:54:00:9B:67:07,   192.168.1.112,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
08, tatooine,  nikodemus,  elasticstack,   logging,        tato1cuomifel2,      br0,   52:54:00:9B:67:08,   192.168.1.113,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
09, tatooine,  nikodemus,  elasticstack,   logging,        tato1cuomifel3,      br0,   52:54:00:9B:67:09,   192.168.1.114,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
10, tatooine,  nikodemus,  elasticstack,   master,         tato1cuomifem1,      br0,   52:54:00:9B:67:0A,   192.168.1.115,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
11, tatooine,  nikodemus,  elasticstack,   master,         tato1cuomifem2,      br0,   52:54:00:9B:67:0B,   192.168.1.116,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
12, tatooine,  nikodemus,  elasticstack,   master,         tato1cuomifem3,      br0,   52:54:00:9B:67:0C,   192.168.1.117,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
13, tatooine,  nikodemus,  kubernetes,     worker,         tato1cuomknode1,     br0,   52:54:00:9B:67:0D,   192.168.1.118,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
14, tatooine,  nikodemus,  kubernetes,     worker,         tato1cuomknode2,     br0,   52:54:00:9B:67:0E,   192.168.1.119,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
15, tatooine,  nikodemus,  kubernetes,     worker,         tato1cuomknode3,     br0,   52:54:00:9B:67:0F,   192.168.1.120,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  2048,  2
16, tatooine,  nikodemus,  kubernetes,     master,         tato1cuomkube1,      br0,   52:54:00:9B:67:10,   192.168.1.121,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
17, tatooine,  nikodemus,  kubernetes,     master,         tato1cuomkube2,      br0,   52:54:00:9B:67:11,   192.168.1.122,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
18, tatooine,  nikodemus,  kubernetes,     master,         tato1cuomkube3,      br0,   52:54:00:9B:67:12,   192.168.1.123,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
19, tatooine,  nikodemus,  management,     tools,          tato1cuomtool11,     br0,   52:54:00:9B:67:13,   192.168.1.124,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2

02, longmont,  nikodemus,  elasticstack,   data,           lnmt2cuelkdata1,     br0,   52:54:00:9B:68:02,   192.168.1.125,  24,                br72,  52:54:00:9b:00:00,    0.0.0.0,    24,               centos8_20g.qcow2,  4096,  2
