16, cabo,      nikodemus,  kubernetes,     master,         cabo0cuomkube1,      52:54:00:9B:66:10,   192.168.1.113,  centos8_20g.qcow2,  4096,  2
17, cabo,      nikodemus,  kubernetes,     master,         cabo0cuomkube2,      52:54:00:9B:66:11,   192.168.1.104,  centos8_20g.qcow2,  4096,  2
18, cabo,      nikodemus,  kubernetes,     master,         cabo0cuomkube3,      52:54:00:9B:66:12,   192.168.1.105,  centos8_20g.qcow2,  4096,  2
19, cabo,      nikodemus,  management,     tools,          cabo0cuomtool11,     52:54:00:9B:66:13,   192.168.1.106,  centos8_20g.qcow2,  4096,  2

02, tatooine,  nikodemus,  services,       haproxy,        tato0cuomapisvr1,    52:54:00:9B:67:02,   192.168.1.107,  centos8_20g.qcow2,  4096,  2
03, tatooine,  nikodemus,  services,       haproxy,        tato0cuomhap1,       52:54:00:9B:67:03,   192.168.1.108,  centos8_20g.qcow2,  4096,  2
04, tatooine,  nikodemus,  elasticstack,   data,           tato0cuomifed1,      52:54:00:9B:67:04,   192.168.1.109,  centos8_20g.qcow2,  4096,  2
05, tatooine,  nikodemus,  elasticstack,   data,           tato0cuomifed2,      52:54:00:9B:67:05,   192.168.1.110,  centos8_20g.qcow2,  4096,  2
06, tatooine,  nikodemus,  elasticstack,   kibana,         tato0cuomifek1,      52:54:00:9B:67:06,   192.168.1.111,  centos8_20g.qcow2,  4096,  2
07, tatooine,  nikodemus,  elasticstack,   logging,        tato0cuomifel1,      52:54:00:9B:67:07,   192.168.1.112,  centos8_20g.qcow2,  4096,  2
08, tatooine,  nikodemus,  elasticstack,   logging,        tato0cuomifel2,      52:54:00:9B:67:08,   192.168.1.113,  centos8_20g.qcow2,  4096,  2
09, tatooine,  nikodemus,  elasticstack,   logging,        tato0cuomifel3,      52:54:00:9B:67:09,   192.168.1.114,  centos8_20g.qcow2,  4096,  2
10, tatooine,  nikodemus,  elasticstack,   master,         tato0cuomifem1,      52:54:00:9B:67:0A,   192.168.1.115,  centos8_20g.qcow2,  4096,  2
11, tatooine,  nikodemus,  elasticstack,   master,         tato0cuomifem2,      52:54:00:9B:67:0B,   192.168.1.116,  centos8_20g.qcow2,  4096,  2
12, tatooine,  nikodemus,  elasticstack,   master,         tato0cuomifem3,      52:54:00:9B:67:0C,   192.168.1.117,  centos8_20g.qcow2,  4096,  2
13, tatooine,  nikodemus,  kubernetes,     worker,         tato0cuomknode1,     52:54:00:9B:67:0D,   192.168.1.118,  centos8_20g.qcow2,  4096,  2
14, tatooine,  nikodemus,  kubernetes,     worker,         tato0cuomknode2,     52:54:00:9B:67:0E,   192.168.1.119,  centos8_20g.qcow2,  2048,  2
15, tatooine,  nikodemus,  kubernetes,     worker,         tato0cuomknode3,     52:54:00:9B:67:0F,   192.168.1.120,  centos8_20g.qcow2,  2048,  2
16, tatooine,  nikodemus,  kubernetes,     master,         tato0cuomkube1,      52:54:00:9B:67:10,   192.168.1.121,  centos8_20g.qcow2,  4096,  2
17, tatooine,  nikodemus,  kubernetes,     master,         tato0cuomkube2,      52:54:00:9B:67:11,   192.168.1.122,  centos8_20g.qcow2,  4096,  2
18, tatooine,  nikodemus,  kubernetes,     master,         tato0cuomkube3,      52:54:00:9B:67:12,   192.168.1.123,  centos8_20g.qcow2,  4096,  2
19, tatooine,  nikodemus,  management,     tools,          tato0cuomtool11,     52:54:00:9B:67:13,   192.168.1.124,  centos8_20g.qcow2,  4096,  2

02, longmont,  nikodemus,  elasticstack,   data,           lnmt1cuelkdata1,     52:54:00:9B:68:02,   192.168.1.125,  centos8_20g.qcow2,  4096,  2
03, longmont,  nikodemus,  elasticstack,   data,           lnmt1cuelkdata2,     52:54:00:9B:68:03,   192.168.1.126,  centos8_20g.qcow2,  4096,  2
04, longmont,  nikodemus,  elasticstack,   kibana,         lnmt1cuelkkib1,      52:54:00:9B:68:04,   192.168.1.127,  centos8_20g.qcow2,  4096,  2
05, longmont,  nikodemus,  elasticstack,   logging,        lnmt1cuelklog1,      52:54:00:9B:68:05,   192.168.1.128,  centos8_20g.qcow2,  4096,  2
06, longmont,  nikodemus,  elasticstack,   logging,        lnmt1cuelklog2,      52:54:00:9B:68:06,   192.168.1.129,  centos8_20g.qcow2,  4096,  2
07, longmont,  nikodemus,  elasticstack,   logging,        lnmt1cuelklog3,      52:54:00:9B:68:07,   192.168.1.130,  centos8_20g.qcow2,  4096,  2
08, longmont,  nikodemus,  elasticstack,   master,         lnmt1cuelkmstr1,     52:54:00:9B:68:08,   192.168.1.131,  centos8_20g.qcow2,  4096,  2
09, longmont,  nikodemus,  elasticstack,   master,         lnmt1cuelkmstr2,     52:54:00:9B:68:09,   192.168.1.132,  centos8_20g.qcow2,  4096,  2
10, longmont,  nikodemus,  elasticstack,   master,         lnmt1cuelkmstr3,     52:54:00:9B:68:0A,   192.168.1.133,  centos8_20g.qcow2,  4096,  2
11, longmont,  nikodemus,  services,       solaris,        lnmt1cuom2540,       52:54:00:9B:68:0B,   192.168.1.134,  centos8_20g.qcow2,  4096,  2
12, longmont,  nikodemus,  cicd,           tower,          lnmt1cuomans1,       52:54:00:9B:68:0C,   192.168.1.135,  centos8_20g.qcow2,  4096,  2
13, longmont,  nikodemus,  services,       haproxy,        lnmt1cuomapisvr1,    52:54:00:9B:68:0D,   192.168.1.136,  centos8_20g.qcow2,  4096,  2
14, longmont,  nikodemus,  cicd,           artifactory,    lnmt1cuomart1,       52:54:00:9B:68:0E,   192.168.1.137,  centos8_20g.qcow2,  4096,  2
15, longmont,  nikodemus,  cicd,           tower,          lnmt1cuomawx1,       52:54:00:9B:68:0F,   192.168.1.138,  centos8_20g.qcow2,  4096,  2
16, longmont,  nikodemus,  database,       cassandra,      lnmt1cuomcas1,       52:54:00:9B:68:10,   192.168.1.139,  centos8_20g.qcow2,  4096,  2
17, longmont,  nikodemus,  documentation,  confluence,     lnmt1cuomcon1,       52:54:00:9B:68:11,   192.168.1.140,  centos8_20g.qcow2,  4096,  2
18, longmont,  nikodemus,  patching,       foreman,        lnmt1cuomforeman,    52:54:00:9B:68:12,   192.168.1.141,  centos8_20g.qcow2,  4096,  2
19, longmont,  nikodemus,  cicd,           gitlab,         lnmt1cuomgitlab,     52:54:00:9B:68:13,   192.168.1.142,  centos8_20g.qcow2,  4096,  2
20, longmont,  nikodemus,  monitoring,     grafana,        lnmt1cuomgraf1,      52:54:00:9B:68:14,   192.168.1.143,  centos8_20g.qcow2,  4096,  2
21, longmont,  nikodemus,  services,       haproxy,        lnmt1cuomhap1,       52:54:00:9B:68:15,   192.168.1.144,  centos8_20g.qcow2,  4096,  2
22, longmont,  nikodemus,  services,       freeipa,        lnmt1cuomifidm1,     52:54:00:9B:68:16,   192.168.1.145,  centos8_20g.qcow2,  4096,  2
23, longmont,  nikodemus,  services,       inventory,      lnmt1cuomipam1,      52:54:00:9B:68:17,   192.168.1.146,  centos8_20g.qcow2,  4096,  2
24, longmont,  nikodemus,  documentation,  jira,           lnmt1cuomjira,       52:54:00:9B:68:18,   192.168.1.147,  centos8_20g.qcow2,  4096,  2
25, longmont,  nikodemus,  cicd,           jenkins,        lnmt1cuomjkns1,      52:54:00:9B:68:19,   192.168.1.148,  centos8_20g.qcow2,  4096,  2
26, longmont,  nikodemus,  cicd,           jenkins,        lnmt1cuomjkns2,      52:54:00:9B:68:1A,   192.168.1.149,  centos8_20g.qcow2,  2048,  2
27, longmont,  nikodemus,  cicd,           jenkins,        lnmt1cuomjkns3,      52:54:00:9B:68:1B,   192.168.1.150,  centos8_20g.qcow2,  2048,  2
28, longmont,  nikodemus,  management,     provision,      lnmt1cuomjs1,        52:54:00:9B:68:1C,   192.168.1.151,  centos8_20g.qcow2,  4096,  2
29, longmont,  nikodemus,  patching,       katello,        lnmt1cuomkat1,       52:54:00:9B:68:1D,   192.168.1.152,  centos8_20g.qcow2,  4096,  2
30, longmont,  nikodemus,  kubernetes,     worker,         lnmt1cuomknode1,     52:54:00:9B:68:1E,   192.168.1.153,  centos8_20g.qcow2,  4096,  2
31, longmont,  nikodemus,  kubernetes,     worker,         lnmt1cuomknode2,     52:54:00:9B:68:1F,   192.168.1.154,  centos8_20g.qcow2,  4096,  2
32, longmont,  nikodemus,  kubernetes,     worker,         lnmt1cuomknode3,     52:54:00:9B:68:20,   192.168.1.155,  centos8_20g.qcow2,  4096,  2
33, longmont,  nikodemus,  kubernetes,     master,         lnmt1cuomkube1,      52:54:00:9B:68:21,   192.168.1.156,  centos8_20g.qcow2,  4096,  2
34, longmont,  nikodemus,  kubernetes,     master,         lnmt1cuomkube2,      52:54:00:9B:68:22,   192.168.1.157,  centos8_20g.qcow2,  4096,  2
35, longmont,  nikodemus,  kubernetes,     master,         lnmt1cuomkube3,      52:54:00:9B:68:23,   192.168.1.158,  centos8_20g.qcow2,  4096,  2
36, longmont,  nikodemus,  services,       mail,           lnmt1cuommail1,      52:54:00:9B:68:24,   192.168.1.159,  centos8_20g.qcow2,  4096,  2
37, longmont,  nikodemus,  database,       mongodb,        lnmt1cuommdb1,       52:54:00:9B:68:25,   192.168.1.160,  centos8_20g.qcow2,  4096,  2
38, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios1,    52:54:00:9B:68:26,   192.168.1.161,  centos8_20g.qcow2,  4096,  2
39, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios2,    52:54:00:9B:68:27,   192.168.1.162,  centos8_20g.qcow2,  4096,  2
40, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios3,    52:54:00:9B:68:28,   192.168.1.163,  centos8_20g.qcow2,  4096,  2
41, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios4,    52:54:00:9B:68:29,   192.168.1.164,  centos8_20g.qcow2,  4096,  2
42, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios5,    52:54:00:9B:68:2A,   192.168.1.165,  centos8_20g.qcow2,  4096,  2
43, longmont,  nikodemus,  monitoring,     nagios,         lnmt1cuomnagios6,    52:54:00:9B:68:2B,   192.168.1.166,  centos8_20g.qcow2,  4096,  2
44, longmont,  nikodemus,  services,       inventory,      lnmt1cuomnetbox1,    52:54:00:9B:68:2C,   192.168.1.167,  centos8_20g.qcow2,  4096,  2
45, longmont,  nikodemus,  database,       postgres,       lnmt1cuompgrs1,      52:54:00:9B:68:2D,   192.168.1.168,  centos8_20g.qcow2,  4096,  2
46, longmont,  nikodemus,  services,       configuration,  lnmt1cuomsalt1,      52:54:00:9B:68:2E,   192.168.1.169,  centos8_20g.qcow2,  4096,  2
47, longmont,  nikodemus,  patching,       spacewalk,      lnmt1cuomspwalk1,    52:54:00:9B:68:2F,   192.168.1.170,  centos8_20g.qcow2,  4096,  2
48, longmont,  nikodemus,  services,       logging,        lnmt1cuomsyslog,     52:54:00:9B:68:30,   192.168.1.171,  centos8_20g.qcow2,  4096,  2
49, longmont,  nikodemus,  services,       configuration,  lnmt1cuomtform1,     52:54:00:9B:68:31,   192.168.1.172,  centos8_20g.qcow2,  4096,  2
50, longmont,  nikodemus,  management,     provision,      lnmt1cuomtool11,     52:54:00:9B:68:32,   192.168.1.173,  centos8_20g.qcow2,  4096,  2
51, longmont,  nikodemus,  services,       configuration,  lnmt1cuomvault1,     52:54:00:9B:68:33,   192.168.1.174,  centos8_20g.qcow2,  4096,  2
52, longmont,  nikodemus,  documentation,  mediawiki,      lnmt1cuomwiki1,      52:54:00:9B:68:34,   192.168.1.175,  centos8_20g.qcow2,  4096,  2
53, longmont,  nikodemus,  database,       mysql,          lnmt1cuomysql1,      52:54:00:9B:68:35,   192.168.1.176,  centos8_20g.qcow2,  4096,  2

02, nederland, nikodemus,  cicd,           ansible,        ndld1cuomans1,       52:54:00:9B:69:02,   192.168.1.177,  centos8_20g.qcow2,  4096,  2
