#ID  Environment   Storage    Application    Type          Servername        MAC                 IP Address       Netmask  Network        Image                     RAM     CPU
14,  cabo,         NikiVMs,   kubernetes,    worker,       cabo0cuomknode1,  00:50:56:9b:02:0e,  192.168.102.163, 24,      QA,            cabo0cuomcentos7_morgan,  16384,   4
15,  cabo,         NikiVMs,   kubernetes,    worker,       cabo0cuomknode2,  00:50:56:9b:02:0f,  192.168.102.164, 24,      QA,            cabo0cuomcentos7_morgan,  16384,   4
16,  cabo,         NikiVMs,   kubernetes,    worker,       cabo0cuomknode3,  00:50:56:9b:02:10,  192.168.102.165, 24,      QA,            cabo0cuomcentos7_morgan,  16384,   4
17,  cabo,         NikiVMs,   kubernetes,    control,      cabo0cuomkube1,   00:50:56:9b:02:11,  192.168.102.160, 24,      QA,            cabo0cuomcentos7_morgan,   8192,   4
18,  cabo,         NikiVMs,   kubernetes,    control,      cabo0cuomkube2,   00:50:56:9b:02:12,  192.168.102.161, 24,      QA,            cabo0cuomcentos7_morgan,   8192,   4
19,  cabo,         NikiVMs,   kubernetes,    control,      cabo0cuomkube3,   00:50:56:9b:02:13,  192.168.102.162, 24,      QA,            cabo0cuomcentos7_morgan,   8192,   4
20,  cabo,         NikiVMs,   kubernetes,    storage,      cabo0cuomnfs1,    00:50:56:9b:02:14,  192.168.102.170, 24,      QA,            cabo0cuomrocky8_morgan,    4096,   2
21,  cabo,         SlashVMs,  database,      postgresql,   cabo0cuompgrs1,   00:50:56:9b:02:15,  192.168.102.99,  24,      QA,            cabo0cuomrocky8_slash,     4096,   2
22,  cabo,         MonkeyVMs, management,    tool,         cabo0cuomtool11,  00:50:56:9b:02:16,  192.168.102.90,  24,      QA,            cabo0cuomrocky8_monkey,    2048,   2


02,  tatooine,     MonkeyVMs, management,    dns,          tato0cuomdns1,    00:50:56:9b:03:02,  192.168.103.153, 24,      Staging,       tato0cuomrocky8_monkey,    2048,   2
03,  tatooine,     MonkeyVMs, management,    dns,          tato0cuomdns2,    00:50:56:9b:03:03,  192.168.103.154, 24,      Staging,       tato0cuomrocky8_monkey,    2048,   2
04,  tatooine,     SlashVMs,  elk,           data,         tato0cuomed1,     00:50:56:9b:03:04,  192.168.103.145, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
05,  tatooine,     SlashVMs,  elk,           data,         tato0cuomed2,     00:50:56:9b:03:05,  192.168.103.146, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
06,  tatooine,     SlashVMs,  elk,           kibana,       tato0cuomek1,     00:50:56:9b:03:06,  192.168.103.147, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
07,  tatooine,     SlashVMs,  elk,           logstash,     tato0cuomel1,     00:50:56:9b:03:07,  192.168.103.148, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
08,  tatooine,     SlashVMs,  elk,           master,       tato0cuomem1,     00:50:56:9b:03:08,  192.168.103.149, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
09,  tatooine,     SlashVMs,  elk,           master,       tato0cuomem2,     00:50:56:9b:03:09,  192.168.103.150, 24,      Staging,       tato0cuomrocky8_slash,     4096,   2
